nuncira	nuncira (1)(1.0): nuncira
unubio	unibio (3)(0.8333333134651184): unibio, univio, unubio
chaverra	chavarro, chaverra (2)(0.75): chavarro, chaverra
naffah	naffah (1)(1.0): naffah
acencio	ascencio (5)(0.8379629651705424): acencio, ascencio, ascencion, asencio, atencio
caqueza	caqueza (1)(1.0): caqueza
moreda	moreda (1)(1.0): moreda
torifio	torifio (1)(1.0): torifio
valazco	velazco (3)(0.8571428656578064): valazco, velasco, velazco
cipamopcha	cipamocha (4)(0.8944444358348846): cipamocha, cipamoha, cipamopcha, zipamocha
young	young, younp (2)(0.800000011920929): young, younp
mateos	mateos (4)(0.7738095223903656): mateos, mateus, matheus, matos
varas	vargas (6)(0.7857142686843872): varags, varas, vargas, vargs, vasrgas, vcargas
lamadrid	lamadrid, madrid (2)(0.75): lamadrid, madrid
torrijos	torrijos (1)(1.0): torrijos
saza	saza (1)(1.0): saza
fraile	fraile (3)(0.8333333134651184): fraile, frayle, freile
montenefro	montenegro (5)(0.8999999761581421): montenefro, montenegro, montenero, montengro, montnegro
larota	larrota (6)(0.8154761989911398): larota, larotta, larrota, larrotta, larrotya, lorrota
sotgo	sotgo, soto (2)(0.800000011920929): sotgo, soto
zuleta	zuleta, zuletz (2)(0.8333333134651184): zuleta, zuletz
suta	suta (1)(1.0): suta
garces	garces (1)(1.0): garces
becera	becerra (8)(0.8154761989911398): bacerra, becarra, beccera, beccerra, becera, becerra, becerrra, bercerra
sanabrias	sanabria (7)(0.8379629651705424): canaria, sanabia, sanabria, sanabrias, sanabruia, sanbria, zanabria
zaiz	saiz, zaiz (2)(0.75): saiz, zaiz
palcios	palacios (3)(0.875): palacio, palacios, palcios
pinilla	pinilla, pinillla (2)(0.875): pinilla, pinillla
condia	condia (3)(0.8452380895614624): candia, condia, condiza
panqueba	banquera (4)(0.8125): banquera, baquera, panqueba, panqueva
estevez	esteve, esteves, estevez (3)(0.8571428656578064): esteve, esteves, estevez
mendivelso	mendivelso (3)(0.8999999761581421): meldivelso, mendivelso, mendiveso
escarraga	escarraga, escarria (2)(0.7777777910232544): escarraga, escarria
nates	nates (1)(1.0): nates
bonilla	bonilla (3)(0.8571428656578064): binilla, bonilla, bonolla
carvajalino	carvajal (4)(0.7609427571296692): caarvajalino, carvajal, carvajalino, carvasjal
leclerco	leclerco (1)(1.0): leclerco
otero	botero, lotero, otero (5)(0.7142857313156128): botero, coteiro, coterio, lotero, otero
barraza	barraza (1)(1.0): barraza
boyaca	bojaca, boyaca (2)(0.8333333134651184): bojaca, boyaca
caidedo	caicedo (4)(0.8571428656578064): caicedo, caidedo, caisedo, caycedo
alalrcon	alarcon (7)(0.8660714328289032): alalrcon, alarccon, alarco, alarcon, alarion, alercon, alrcon
contento	centeno, contento (2)(0.75): centeno, contento
urbino	urbino (4)(0.7738095223903656): burbano, urbano, urbina, urbino
siera	sierra (4)(0.8452380895614624): cierra, siera, sierra, sierrra
rosero	rodero, romero, rosero, royero (4)(0.8333333134651184): rodero, romero, rosero, royero
ortega	ortega (1)(1.0): ortega
fresneda	frisneda (3)(0.875): brisneda, fresneda, frisneda
suescun	suescun (3)(0.7857142984867096): suecun, suesca, suescun
abnril	abril (3)(0.8166666626930237): abnril, abril, abriñ
latrigia	latriglia (3)(0.8333333432674408): latrigia, latriglia, latrilla
gelvez	gelvez (3)(0.8333333134651184): galvez, gelves, gelvez
muyanajinsoy	mujanajinsoy, muyanajinsoy (2)(0.9166666865348816): mujanajinsoy, muyanajinsoy
cantillo	castillo (10)(0.8379629651705424): campillo, cantillo, capillo, carillo, carrillo, casatillo, castillo, castllo, catillo, cstillo
apuleyo	apuleyo (1)(1.0): apuleyo
ortegon	ortegon (1)(1.0): ortegon
alvaraez	alvarez (7)(0.8660714328289032): alvaraez, alvares, alvarez, alviarez, alvrez, avarez, lvarez
cuchimba	cuchia (3)(0.7916666567325592): chchia, cuchia, cuchimba
sativa	rativa, riativa (2)(0.8571428656578064): rativa, riativa
segovia	segia, segovia (2)(0.7142857313156128): segia, segovia
fenrnadez	fernadez (10)(0.7983333349227906): ernandez, fenrnadez, fernadez, fernadnez, fernandez, fernanez, hernadez, hernanadez, hernandez, hernnadez
monero	monero, montero (2)(0.8571428656578064): monero, montero
cahueño	careño (1)(1.0): careño
capello	capello (1)(1.0): capello
alaya	alaya (4)(0.800000011920929): alaya, amaya, anaya, olaya
serrano	serrano (4)(0.8660714328289032): seerano, serano, serrano, serrrano
niausa	nausa, niausa (2)(0.8333333134651184): nausa, niausa
siatame	siatama, siatame (2)(0.8571428656578064): siatama, siatame
moyana	moyano (4)(0.8333333134651184): molano, morano, moyana, moyano
goya	goya, joya, moya, noya (4)(0.75): goya, joya, moya, noya
hernry	henry, hernry (2)(0.8333333134651184): henry, hernry
cuy	cuy (1)(1.0): cuy
fernando	hernandez (13)(0.8083333224058151): ernandez, fernadez, fernadnez, fernandez, fernando, fernanez, hernadez, hernanadez, hernande, hernandez, hernandz, hernanedz, hernendez
noño	niño (5)(0.7750000059604645): ninño, niño, niños, niñño, noño
trucco	trucco, truco (2)(0.8333333134651184): trucco, truco
rodruiguez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
corzo	corzo (4)(0.8166666626930237): corozo, corso, corzo, corzp
andrade	andrade (1)(1.0): andrade
gonzaez	gonzalez (14)(0.8379629651705424): ganzalez, gomzalez, gonazalez, gonzaez, gonzale, gonzalea, gonzales, gonzalez, gonzalo, gonzalñez, gonzaqlez, gonzlaez, gonzxalez, gozalez
